ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-1131,make_header,Buffer overflow in make_header(),Incorrect system behaviour or safety-function failure originating in make_header (function),8,4,5,160,high,src/report/report.cpp,34
FMEA-447,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/unece/unece.cpp,153
FMEA-911,load,Buffer overflow in load(),Incorrect system behaviour or safety-function failure originating in load (function),8,4,5,160,high,src/pr/pr.cpp,41
FMEA-551,parse,Buffer overflow in parse(),Incorrect system behaviour or safety-function failure originating in parse (function),8,4,5,160,high,src/quality/quality.cpp,241
FMEA-443,build_report,Buffer overflow in build_report(),Incorrect system behaviour or safety-function failure originating in build_report (function),8,4,5,160,high,src/unece/unece.cpp,150
FMEA-1403,register_rule,Buffer overflow in register_rule(),Incorrect system behaviour or safety-function failure originating in register_rule (function),8,4,5,160,high,src/engine/engine.hpp,32
FMEA-523,sha256_init,Buffer overflow in sha256_init(),Incorrect system behaviour or safety-function failure originating in sha256_init (function),8,4,5,160,high,src/quality/quality.cpp,62
FMEA-514,Sha256Ctx,State corruption in Sha256Ctx(),Incorrect system behaviour or safety-function failure originating in Sha256Ctx (class),8,4,5,160,high,src/quality/quality.cpp,21
FMEA-511,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/do178/do178.cpp,187
FMEA-890,Report,State corruption in Report(),Incorrect system behaviour or safety-function failure originating in Report (class),8,4,5,160,high,src/slsa/slsa.hpp,30
FMEA-1363,make_hara005,Buffer overflow in make_hara005(),Incorrect system behaviour or safety-function failure originating in make_hara005 (function),8,4,5,160,high,src/engine/rules.hpp,22
FMEA-1142,ReportOptions,State corruption in ReportOptions(),Incorrect system behaviour or safety-function failure originating in ReportOptions (class),8,4,5,160,high,src/report/report.hpp,13
FMEA-507,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/do178/do178.cpp,168
FMEA-1367,make_iso26262002,Buffer overflow in make_iso26262002(),Incorrect system behaviour or safety-function failure originating in make_iso26262002 (function),8,4,5,160,high,src/engine/rules.hpp,24
FMEA-519,sha256_transform,Buffer overflow in sha256_transform(),Incorrect system behaviour or safety-function failure originating in sha256_transform (function),8,4,5,160,high,src/quality/quality.cpp,47
FMEA-503,assess,Buffer overflow in assess(),Incorrect system behaviour or safety-function failure originating in assess (function),8,4,5,160,high,src/do178/do178.cpp,143
FMEA-1139,exit_code,Buffer overflow in exit_code(),Incorrect system behaviour or safety-function failure originating in exit_code (function),8,4,5,160,high,src/report/report.cpp,270
FMEA-1359,make_coup003,Buffer overflow in make_coup003(),Incorrect system behaviour or safety-function failure originating in make_coup003 (function),8,4,5,160,high,src/engine/rules.hpp,20
FMEA-499,detect_status,Buffer overflow in detect_status(),Incorrect system behaviour or safety-function failure originating in detect_status (function),8,4,5,160,high,src/do178/do178.cpp,102
FMEA-1371,make_iso26262003,Buffer overflow in make_iso26262003(),Incorrect system behaviour or safety-function failure originating in make_iso26262003 (function),8,4,5,160,high,src/engine/rules.hpp,26
FMEA-1343,make_fusa002,Buffer overflow in make_fusa002(),Incorrect system behaviour or safety-function failure originating in make_fusa002 (function),8,4,5,160,high,src/engine/rules.hpp,11
FMEA-495,is_required,Buffer overflow in is_required(),Incorrect system behaviour or safety-function failure originating in is_required (function),8,4,5,160,high,src/do178/do178.cpp,93
FMEA-886,Requirement,State corruption in Requirement(),Incorrect system behaviour or safety-function failure originating in Requirement (class),8,4,5,160,high,src/slsa/slsa.hpp,18
FMEA-895,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/slsa/slsa.hpp,42
FMEA-491,parse_dal,Buffer overflow in parse_dal(),Incorrect system behaviour or safety-function failure originating in parse_dal (function),8,4,5,160,high,src/do178/do178.cpp,15
FMEA-1375,make_hara002,Buffer overflow in make_hara002(),Incorrect system behaviour or safety-function failure originating in make_hara002 (function),8,4,5,160,high,src/engine/rules.hpp,28
FMEA-527,sha256_update,Buffer overflow in sha256_update(),Incorrect system behaviour or safety-function failure originating in sha256_update (function),8,4,5,160,high,src/quality/quality.cpp,70
FMEA-487,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/do178/do178.hpp,42
